dbn,number,question,answer
Q151,0,What is your school’s mission statement?," Section 4: CEP Overview PS151Q’s mission statement is as follows: “The Global Communication and Foreign Language Magnet School celebrates the rich heritage of our students, builds their academic knowledge within a collaborative and challenging environment, and prepares them morally and ethically for global citizenship.""   2."
X175,0,What is your school’s mission statement?," Vision Statement Section 4: CEP Overview P.S. 175 is a professional community of learners where students’ individual academic and social needs are met and where parents are welcomed as valued members of our school community. Mission Statement   Our mission is to make P. S. 175 a true collaborative community of practice where: ● We all work together to meet the instructional and social needs of every child ● We all see ourselves as learners ● Teachers work collaboratively to plan and implement instruction ● Classrooms reflect the enthusiasm of teachers and students ● Parents are welcomed into the building as meaningful contributors ● Instruction is rigorous and student achievement high ● Students love to come to school to learn, teachers love to come to school to teach, and parents are happy to send their children to our school. 2."
K223,0,What is your school’s mission statement?," The mission of the I.S. 223 school community is to provide all students with a safe and nurturing environment and a high quality education that enables them to be college and career ready in the 21st century.   At Montauk Junior High School, we honor the diversity of our learners and the uniqueness of young adolescents. The administration and staff is dedicated to ensure that ALL students learn and be successful. Classroom instruction fosters equity and academic excellence for our diverse learners through scaffolds, supports, and collaborative team teaching models. Through student-initiated and project-based learning, our students use all modalities to provide them with the fundamental academic skills and 21st century skills to be college and career ready. 2."
X161,0,What is your school’s mission statement?," Our mission, at P.S. 161, is to make our school child-centered in an environment of excellence. Through an open team approach involving our entire school community, we will create an atmosphere where children will show willingness to question, explore and share. We will in still a love of learning so that all our students can reach their full potential and become contributing members of society. We will foster lifelong goals of independent thinking, responsible citizenship, and an appreciation of individual differences, academic excellence and high standards.   2."
Q145,0,What is your school’s mission statement?," We will create a community of active 21st Century Learners through equitable opportunities for critical thinking, collaboration, communication and creativity. Our diverse staff, parents and student body will spearhead initiatives to advocate for a safe, efficient, and effective learning environment for all. We will work alongside our community to lead our students to academic, social and emotional excellence.   2."
M134,0,What is your school’s mission statement?," The vision of PS 134 is that all members of the school community will support our students in becoming responsible, productive citizens who will succeed in achieving their highest potential. We believe that all children can learn, and develop the skills and mindsets to become lifelong learners and excellent communicators.   At PS 134 we believe teaching to the heart and spirit as well as the intellect of our entire community. We strive to provide exciting and challenging opportunities through daily experiences that enhance both social-emotional growth and academic success to support our students as a whole. We uphold the expectation that our students will meet the high standards we set for them, and celebrate student achievement for successful mastery. Our students are encouraged to be active participants in their own learning process on their way to becoming excellent writers, readers, mathematicians, scientists and artists. Essential to our mission is the awareness, appreciation, and respect for the diverse cultures of the members of our school community. By creating a safe learning environment for all children, we strive to support students developing skills for their growth within our school community and beyond. 2."
K545,0,What is your school’s mission statement?," For the 2018-2019 school year we are focused on engaging students in culturally relevant pedagogy, utilizing technology, creating professional learning communities, using qualitative/qualitative data to make instruction decisions, and expanding our college level/AP course offerings.   2."
Q192,0,What is your school’s mission statement?, Our mission is to educate all learners using meaningful and purposeful instruction through a student centered and college access focus.   2.
K592,0,What is your school’s mission statement?," Our school's mission is to develop, maintain, and graduate life-long learners who have a deep understanding of different cultural perspectives, a love of learning and a desire for excellence with integrity. We promote holistic student development by supporting learners to grow socially, emotionally, physically and intellectually.   2."
Q186,0,What is your school’s mission statement?," Section 4: CEP Overview P.S. 186 is dedicated to developing an environment in which students, parents and staff work collaboratively to maximize their intellectual, emotional and social potential. We will provide students with a rigorous curriculum that focuses on meeting or exceeding standards. It is our goal to develop in all of our students a love of learning and an ability to succeed as contributing citizens of society.   2."
Q019,0,What is your school’s mission statement?, We believe it is our mission to provide the best education possible to empower our students to achieve their highest levels of personal academic excellence. Our goal is to instill habits in our students that will foster autonomy and help them become the leaders of today and tomorrow.   2.
K425,0,What is your school’s mission statement?," The mission of James Madison High School is to engage, challenge, and educate the minds of our students. Our classroom communities inspire and encourage our students to ask questions, seek answers, and take an ownership role in their education. Our educators, staff, and students herald community connectedness within the walls of our schools itself and strive to give back to the communities around us. In our efforts to continue our growth as individuals, all members of James Madison High school ask, ""What's next?"" Our collective responses continue to shape us as individuals and grow our academic, athletic, and creative communities.   2."
M054,0,What is your school’s mission statement?," It is Booker T. Washington Middle School's mission to nurture our students as they enter adolescents, to support them as they learn the reasoning, writing and reading skills they need to excel as students. We focus on ensuring that our students develop strong study skills, the ability to advocate for themselves and to seek out the support they need to excel as students. It is our belief that these foundational skills are the most critical they can develop during their middle school years and those which will ensure their success as they move on to high school.   2."
Q025,0,What is your school’s mission statement?," Mission Statement: Our mission is to cultivate life-long learners by inspiring the intellectual, social, emotional, and physical potential of every student. Administrators, teachers, parents, and staff work together using Common Core State Standards to create a challenging environment specific to the individuals' needs in developing skills for a successful transition to high school, college and future careers.   2."
X015,0,What is your school’s mission statement?, The mission of PS/MS 15 is to build a “Community of Learners and Leaders”. The community of learners and leaders at PS/MS 15 encourages the involvement of all stakeholders so that they are active participants in a collaborative decision making process. We encourage active participation and exploration by placing special value on personal growth and development. It is our intent to educate young people who will strive for excellence and to be college and career ready. Our expectations are for every child to reach their highest potential through our home-school partnership. We are firmly committed to meet the challenges to create and support a child centered school where all children can and will   learn. Our school community provides a safe and nurturing environment in which we can incorporate a curriculum that will address the needs of our diverse student population. 2.
Q031,0,What is your school’s mission statement?," The mission of PS 31 is to provide our children with an exemplary educational program in a safe, nurturing and stimulating environment. We strive to equip each child with experiences that connect classroom learning to real life. Our dedicated staff and involved parents are committed to excellence and are instrumental in educating the whole child. Together, we can make a difference in developing self-confident, life-long learners who will be productive citizens in a technological and culturally diverse world.   2."
M040,0,What is your school’s mission statement?," Section 4: CEP Overview P.S. 40 is dedicated to the three inter-related concepts of academic excellence, social responsibility and student self-esteem. This philosophy drives instruction and the way everyone at P.S. 40 lives together as a community. We are a multi-cultural and multi-ethnic community where administrators work with parents, teachers and children to fulfill   the school’s mission of providing a nurturing, supportive and academically rigorous learning environment for each child. 2."
R074,0,What is your school’s mission statement?," Section 4: CEP Overview The Future Leaders Elementary School family synergizes to build a trusting, respectful, and proactive learning environment for all. We foster socially responsible, interdependent lifelong leaders.   2."
X559,0,What is your school’s mission statement?," Section 4: CEP Overview We believe in teaching the “whole student” – without judgment – in a safe environment that supports their academic, social and emotional development. Learning should be meaningful, purposeful, and challenging so that our students are empowered to become life-long learners, who seek knowledge in all that they encounter. This is achieved by offering new perspectives, experiences, and insights while celebrating the values, beliefs, and cultural identities that our students bring with them.   2."
K169,0,What is your school’s mission statement?," PS 169 Vision Statement: Section 4: CEP Overview At Sunset Park School, our core values - Friendship, Integrity, Responsibility, and Excellence (FIRE) - drive our vision. We are a welcoming, inclusive community where we celebrate the diversity among our students, staff, and community members. We foster a love of learning by providing an enriching, well-rounded education. We open   students' eyes to the world around them, encourage them to make positive change in their community, and support them as they realize their full potential. Together, we work for a better tomorrow. 2."
R060,0,What is your school’s mission statement?," PS 60’s Mission Statement Section 4: CEP Overview P.S. 60 recognizes that each child is an individual and respects their individual needs. PS 60 fosters a safe, caring, and supportive environment; and focuses on the social, emotional, physical, and intellectual development of each child. Student’s academic success is fostered by positive relationships with peers, staff, and parents. We strive to have our parents, teachers, and community members actively involved in our students’ learning.   PS 60’s Vision Statement P.S. 60 will create a safe and structured environment where students and staff, along with parents and other stakeholders come together as a community of life-long learners. Our school will foster individual differences and allow all children access to learning. We will work together to support students with authentic learning experiences. 2."
R048,0,What is your school’s mission statement?," PS/IS 48 is dedicated to the belief that all students can meet high standards of excellence. We are a learning community dedicated to creativity, academic excellence and intellectual curiosity, with the aim of developing life-long learners and engaged citizens. We are committed to the intellectual, artistic, moral, emotional, social and physical development of each child. At PS/IS 48, ""We are more than a school. We are a family"".   2."
K141,0,What is your school’s mission statement?, Mission - It is our mission that all 141K students will be active participants in their learning. Their road to independence with us will be paved through exposure to college and career readiness skills leading them to further independence.   2.
Q227,0,What is your school’s mission statement?," Section 4: CEP Overview Our school is a borough-wide school that was established in 1979 to bring together an ethnically diverse group of students in conjunction with New York State Education Department, New York City Board of Education, and Queens College. Over 35 years later, this mission continues today. The school was named to honor the great musician and singer, Louis Armstrong. Louis and his wife Lucille had lived in the local area.   MISSION STATEMENT The purpose of establishing the school was to bring together a culturally diverse group of students form the borough of Queens to educate them academically, socially, emotionally, and physically. Louis Armstrong Middle School celebrates strong student achievement and high expectations for all members of our school community. We provide a nurturing and supportive environment with an emphasis on STEM and the arts. We believe in providing every student an opportunity to succeed. What happens here at LAMS will change the world. 2."
X565,0,What is your school’s mission statement?," MISSION: Section 4: CEP Overview The High School for Energy and Technology (HSET) is a 9th-12th grade learning community, committed to fostering a safe, supportive, and nurturing culture of learning in a practical program that prepares students for professional careers in engineering and technology. We balance our challenging academic program with project-based developmental learning, which is structured to teach students to harness the energy of self-confidence and reinforce the discipline of hard work. Students of HSET will graduate equipped with the knowledge, skills, and personal qualities   to pursue college and/or professional careers in electrical installation and technology. Finally, our HSET graduates will serve as public ambassadors, propelled with a renewed sense of urgency to take action on a civic calling within their community, city, and nation. VISION AND VALUES: PERSONALIZATION (SUPPORTIVE ENVIRONMENT) All students are entitled to personalized attention unique to them to help them reach their maximum potential. PERSEVERANCE ( TRUST) We constantly strive to build an atmosphere of trust with our students and we will not relent in providing students the tools they need to realize their own success. ADVOCACY (STRONG FAMILY – COMMUNITY TIES) We strive to build strong partnerships and will continue to serve as advocates and allies for our students and families. INQUIRY (RIGOROUS INSTRUCTION) Student need and choice drives our instructional practice and students must have the opportunity to inquire and be challenged by our instruction. PRIORITIES Accelerate learning and instruction Partner with communities Develop people Advance equity 2."
M256,0,What is your school’s mission statement?," Mission - We seek to create a challenging learning environment that encourages high expectations for success through developmentally appropriate instruction, which allows for individual differences and learning styles. Our school promotes a safe, orderly, caring and supportive environment. Each student’s self-esteem is fostered by positive relationships with students and staff. We strive to involve our parents, teachers and community members in our students learning   Vision - A community of excellence that provides a supportive, diverse learning environment, which fosters academic, emotional, athletic growth and empowers our students to become productive citizens and leader . 2."
K627,0,What is your school’s mission statement?," The mission of Brighter Choice Community School is to create a safe and healthy learning environment that nurtures, motivates and challenges students to meet and exceed state standards. Our goal is to prepare students to succeed in middle, high school and ultimately college. We will do this by helping our students to recognize cultural differences and diversity in the classroom and the school. We will encourage our students to celebrate cultural differences. Students will build their confidence and strong personal relationships within the school.   2."
M242,0,What is your school’s mission statement?," Section 4: CEP Overview We all have greatness within us and every child has limitless potential that must be nurtured. Members of the Young Diplomats Magnet Academy will draw this potential out of every scholar and continuously strive for success. As a result, each scholar will be equipped with the tools to become responsible citizens in a changing world. Young   Diplomats Magnet Academy is dedicated to providing all students with a caring, supportive, and rigorous inquiry-based learning environment. Young Diplomats Magnet Academy is a school in which all students are encouraged to be open-minded towards acquiring a global perspective. Together we will target student strengths and interests as a motivational tool to be reflective risk-takers. Students of different abilities, interests or learning needs will experience equally appropriate ways to absorb, use, develop and present concepts as effective communicators. The entire school community is committed to helping develop knowledgeable, balanced and principled thinkers, skills needed to become socially responsible members of a diverse society. 2."
K633,0,What is your school’s mission statement?," Our mission is to engage students in the academic rigor needed to guarantee a quality education for all children ranging from those who struggle to learn to the most gifted. Partnerships with selected members of the health and pharmaceutical industries will provide additional support such as internships, professional development and other available resources to further assist our school in preparing graduates to excel in their post-secondary education and chosen career.   2."
Q233,0,What is your school’s mission statement?," The mission of P.233Q is to provide rigorous and relevant instruction to our diversified community of learners. Effective communication skills and improving student's ability to advocate for themselves are essential in what is emphasized and taught both in and out of the classroom. Students are encouraged to develop a strong work ethic, take ownership of learning, and act as responsible citizens in their home and school communities. Additionally, students are encouraged to use self-determination skills to set and achieve personal goals. All students are   encouraged to improve personal academic behaviors (executive functioning skills) so, as older students, they are better equipped to explore career and post high school options through on site and off site vocational experiences. As an important member of the school community, parents are encouraged to share in decision making, participate in meetings specific to their child, attend celebratory happenings, and take advantage of support and informative events range of all learning experiences regardless of obstacles as the result of physical, social-emotional and academic needs. We Believe:  We are all life-long learners  All students can learn  Effective communication skills are an essential component of life  Teachers must provide meaningful, relevant, authentic, rigorous instruction  Teachers work best in supportive, professional, collaborative learning communities  The best decisions are made with the input of students, parents, staff and meaningful data  Reflection and inquiry are integral components to learning Student Mission Statement: ""Don't let the fear of striking out hold you back."" — Babe Ruth I believe that I can learn and successfully accomplish my goals. I am a valued member to my home, school, and local community. I will respectfully and cooperatively work with teachers, classmates, and my family to become the best person I can be. UDL School Wide Message: #ICAN Be Present! Be Positive! and Be a Champion! I can demonstrate greater independence in my choice to develop a strong work ethic. I can be a capable learner in my choice to achieve my learning targets. I can be an awesome leader in my choice to monitor what I say and do. I can be non-stop in my choice to be the best person I can be This document was created using the Guiding Principles from the NYSED ""Blueprint for Improved Results for Students with Disabilities"", which served as a frame of reference. In addition, we aligned the school goals to the New York State ESSA goals. 2."
Q555,0,What is your school’s mission statement?," Newcomers High School was founded in 1995 as a school for immigrant students who are also English language learners with the mission of providing them with rigorous academic instruction, supporting them to achieve English language proficiency and easing their transition to new city, country, and culture.   2."
M281,0,What is your school’s mission statement?," What We Believe: Educators at The River School believe that all children have vast capacities for learning that flourish when provided with opportunities to engage in their natural curiosity. We strive to educate the whole child by providing an inclusive environment where students can grow intellectually, emotionally, socially and physically. Our mission as a school is to   inspire a love of learning in our students, not just about books and numbers, but also about the world around them. We encourage our students to be independent thinkers and to feel safe taking intellectual risks. We believe that students should have the opportunity to express their talents and interests in many ways and strive to provide multiple experiences to enhance their learning. 2."
K196,0,What is your school’s mission statement?," Section 4: CEP Overview We believe all of our students will have the opportunity to reach their fullest potential. Our school community will ensure that our students will be college and career ready. Our mission is being committed to working towards the enhancement of our standards driven instructional program, creating high levels of academic excellence for all of our students in each of the disciplines.   2."
M280,0,What is your school’s mission statement?," Section 4: CEP Overview The Manhattan Early College School for Advertising provides direct access for our students to an excellent education to succeed in high school, college, and career. Building on the life experiences of our students and their families, we are committed to empowering them to continually grow in scholarship, character, empathy, responsibility, and   creativity so that all graduates have the ability and commitment to embrace lives of learning and to make positive contributions to the communities in which they live and work. 2."
K197,0,What is your school’s mission statement?," PS 197 Kings Highway Academy Mission Statement: Section 4: CEP Overview At PS 197, we strive to create a secure and nurturing learning environment for all children and staff. We seek to support and enhance individual learning styles, cultural diversity and respect for self and others. Focusing on the cooperative partnership of school and home, in educating children, we, together, strive to promote peace, discipline, and learning. We seek to generate and implement rules and logical consequences, to teach conflict resolution, decision making skills, responsibility and independence. Based upon a belief that all children can achieve high   standards of excellence, we seek to implement a rigorous curriculum that provides opportunities for learning basic skills through independent and cooperative learning activities. We emphasize the development of critical thinking and problem solving skills along with the use of modern technology. We invite and encourage cultural arts and extracurricular activities for our school. We welcome and encourage the participation of parents and the school community in the teaching and learning process and in school events. 2."
M294,0,What is your school’s mission statement?," Mission Statement: At Essex Street Academy, our mission is to engage students in meaningful learning and prepare them to realize productive lives and contribute to the greater good of the world around them.   2."
Q232,0,What is your school’s mission statement?," MISSION STATEMENT OF P.S. 232 – The mission of the P.S. 232 family is to provide an academically challenging and integrated curriculum within a safe and nurturing school environment, our “home away from home”. We, a team of educators, students, and parents, will continue to utilize all available resources to prepare all students to meet high quality and challenging standards of excellence. PS 232 is a diverse school with high academic and social expectations for all students. We serve the needs of all students - students who speak another language, students with learning disabilities, and students who are intellectually gifted! That’s what makes our school work! It is culturally and   academically diverse and all school members respect one another. We provide a safe and nurturing school environment where everyone knows everyone in our ‘home away from home’! 2."
M243,0,What is your school’s mission statement?," Section 4: CEP Overview We provide a rich academic life: good literature to read, myriad opportunities to write, and occasions to think deeply. We want the children to feel that they are in control of their education.   2."
K154,0,What is your school’s mission statement?," Section 4: CEP Overview PS154 is a collaborative community that is committed to inspiring curiosity, integrity, independence and academic excellence in our children. We do this by encouraging exploration across all areas of study and the engagement of the cultural institutions of New York City.   2."
M531,0,What is your school’s mission statement?," Repertory Company High School uses deep engagement with the performing arts to inspire academic achievement, cultural awareness and a lifelong love of learning.   2."
K140,0,What is your school’s mission statement?," At P 140K, we believe that it takes a village to raise a child . We are a community of learners who strive to provide our diverse student population with a quality, rigorous, well-rounded educational experiences. With our students’ abilities at the focus of our instructional methods, we work collaboratively with each other, families, and the community at-large to ensure that our students remember “the village” they come from. By providing them with new options, new opportunities, and accepting no excuses, our students will be ready to meet the challenges of the world while on their path towards college and/or career readiness.   2."
X564,0,What is your school’s mission statement?," Section 4: CEP Overview The mission of Claremont IHS is to build upon the diverse linguistic and cultural backgrounds of ELLs in New York City to create a stimulating, academically rigorous and nurturing learning community that prepares students for success in college and beyond. Our students cultivate intellectual curiosity, advance critical thinking skills and develop empathy as global citizens through the integration of language in all classes.   2."
M519,0,What is your school’s mission statement?," We are a diverse, collaborative community that empowers every individual to explore and take responsibility for authentic, bold choices.   2."
R075,0,What is your school’s mission statement?," Section 4: CEP Overview At Paulo Intermediate School, creating and maintaining the highest educational climate possible is a priority and it is promoted with excellence in teaching and learning. Our mission is to provide an educational program that enables every child to master the skills needed to become a highly productive and caring citizen. At our core is a well-defined differentiated and meaningful curriculum, tailored to our unique school setting. An atmosphere of cooperation, tolerance, and an appreciation of the cultural heritage of different people and civilizations pervades our educational 1  setting. The essence of our efforts at Paulo is to ensure that each student realizes whatever unique potential of body, mind, and spirit that he or she may possess. 2."
X558,0,What is your school’s mission statement?," At WSA, our mission is to develop confident readers, writers and speakers who feel deeply connected to and supported by our school community. We prepare our students for college through a liberal arts curriculum focused on writing, critical thinking and peer discussion, and we give them the opportunity to connect with their passions through elective coursework in the arts, sciences and humanities. An underpinning of the WSA model is a nurturing school culture that encourages reflection, collaboration and experiential learning.   2."
K381,0,What is your school’s mission statement?," Our School's Mission states ""our entire school community works collaboratively to ensure that our students are provided with experiences and opportunities that will establish a strong foundation for high school and beyond. Academic instruction ensures that all students are equipped with the prerequisite skills to be college and career ready for the twenty-first century. As educators, we are committed to developing rigorous and challenging curriculum in all disciplines, opportunities for learning beyond the classroom, as well as cultivating a positive social and emotional mindset that is needed for students to take on their role as responsible and productive citizens. ”   2."
X014,0,What is your school’s mission statement?," Section 4: CEP Overview PS 14 is a school community that strives to develop respectful, trustworthy individuals with a desire to become life-long learners and good citizens. We hold our students to the highest academic standards while providing them with the direction, support and encouragement they need to be successful. Our students will empower themselves and   inspire others to be tolerant and understanding. P.S. 14 is focused on delivering targeted high quality instruction that is rigorous and cognitively engages all learners across all content areas. 2."
M041,0,What is your school’s mission statement?," Section 4: CEP Overview PS 41 is a collaborative community dedicated to the mission of providing the highest quality education to each of our students. Central to our mission is a shared belief that each child brings to our school a unique set of abilities and talents. Our highly dedicated faculty work closely together in an enriching environment for all of our students. Equally central to our mission is the teaching of important community values. Thus, we encourage children to celebrate diversity, to respect each other, and to work together with shared goals. We recognize a supportive environment as   one that also includes clear expectations and academic rigor. PS 41 is dedicated to teaching a common-core curriculum in a supportive environment, to ensure that our students will achieve their highest potential, and go on to a lifelong quest for learning and achievement. PS 41 is a collaborative community dedicated to the mission of providing the highest quality education to each of our students. Central to our mission is a shared belief that each child brings to our school a unique set of abilities and talents. Our highly dedicated faculty work closely together in an enriching environment for all of our students. Equally central to our mission is the teaching of important community values. Thus, we encourage children to celebrate diversity, to respect each other, and to work together with shared goals. We recognize a supportive environment as one that also includes clear expectations and academic rigor. PS 41 is dedicated to teaching a common-core curriculum in a supportive environment, to ensure that our students will achieve their highest potential, and go on to a lifelong quest for learning and achievement. 2."
K430,0,What is your school’s mission statement?," Brooklyn Technical High School was instituted by a New York State legislative mandate and is open to all students of the City of New York by competitive examination. Its mission is to inspire and challenge students to maximize their talents for the benefit of society. The specific goals of Brooklyn Tech are to:  provide an environment for educational, social and emotional growth in which students can develop their intellectual gifts and become committed to an examination of ethical approaches to solve world problems; and   provide an environment for the research and development of innovative and interdisciplinary approaches in the areas of mathematics, science, engineering, computer science and the liberal arts; and  attract and challenge outstanding educators to guide students in achieving the highest standard of academic excellence; and  prepare our students for leadership and professional roles at the university level and in our society, with an awareness of social responsibility to the community. 2."
Q024,0,What is your school’s mission statement?," PS 24Q prides itself on excellence. Our mission statement is to work collaboratively with the staff and parents of PS 24Q, as partners, in setting high standards of excellence for our students. Our expectations are that students will realize superior academic achievement and social development as they become productive members of our local community and global society. We educate all members of the school community, students, staff and parents in a wholesome, nurturing environment. The knowledge and skills students gain in our school will empower them to become lifelong learners, risk takers, and problem solvers as they face life’s challenges.   2."
X028,0,What is your school’s mission statement?," At the Mt. Hope Centennial School, we believe that all children can and will learn. To ensure that all children will reach their potential…  We will maintain high expectations and promote academic excellence for all students.  We will create and support a school environment in which all children and adults feel welcomed, respected, trusted and an important part of the school.  We will create an environment where we can learn together and support each other.   We will foster a positive school climate of a caring community which respects and values diversity and nurtures everyone’s self-esteem. 2."
