bn|term|excerpt
K753|REWARDS|"nd cultural tolerance.  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

Use"
K753|REWARDS|"g programs, Head Start).

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

11

Use"
K753|REWARDS|"g programs, Head Start).

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12

ACA"
K753|REWARDS|"1

During the school day

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

HIG"
K753|REWARDS|" delivery of instruction

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

14

DIR"
M322|Discovery Ed Tech Book|"tories 

Multi-media resources available in the L1 (Discovery Education Streaming, Brain Pop videos)

14.  For students in"
M322|IDO|"nsultation with their School Leadership Team.

HOW DO SCEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL P"
M322|Read180|"ents up for literacy intervention using 
System44/Read180.  SIFE students are also targeted for AIS in math"
M322|Read180|"he use of computer-based interventions 
(System44/Read180) designed to accelerate literacy development for "
M322|Read180|to individualized technology-based interventions (Read180) have been quite effective in accelerating litera
M322|Read180|"sed intervention using the System44 (40 licenses)/Read180 (120 
licenses) programs, as part of the rotation"
M322|Read180|"ipation in targeted intervention 
programs (i.e., Read180) and Title III programs (i.e., content area enric"
M322|Read180|"Technology (Hardware & Software)
•
•
•
•
•
•
•
•

Read180
System 44
United Streaming instructional videos
B"
M322|Read180|"s reflective of the age group being served (i.e., Read180 and System44)  

classrooms libraries featuring e"
M322|Read180|"gy with smart differentiation features (System44, Read180, ELMOs, SmartBoards)
use of materials specificall"
M322|Teacher's College Reading and Writing Project|"e use of CCLS rubrics, and unit 
planning. 
       Teachers College Reading and Writing Project curriculum, including "
M322|Teacher's College Reading and Writing Project|"otate through each of the following 
six stations: Teachers College Reading & Writing Project Reader’s Workshop, Teach"
M322|Teacher's College Reading and Writing Project|"llege Reading & Writing Project Reader’s Workshop, Teachers College Reading & Writing 
Project Writer’s Workshop, Guid"
M322|Teacher's College Reading and Writing Project|" year 2011-12 includes four components: 
•
offsite Teacher’s College Reading and Writing Project Professional Developme"
M322|Teacher's College Reading and Writing Project|"iculum, adapted for 
ELLs.  These students receive TCRWP-based Reader’s and Writer’s Workshop instruction "
M322|Teacher's College Reading and Writing Project|"ty students 
receiving daily instruction using the TCRWP Readers and Writers Workshop curriculum, adapted "
M322|Teacher's College Reading and Writing Project|"ing professional development and coaching from our TCRWP 
consultant, literacy coach and ELLs coach in app"
M322|Teacher's College Reading and Writing Project|"coach and ELLs coach in appropriately adapting the TCRWP workshops to effectively meet the 
instructional "
M322|Teacher's College Reading and Writing Project|"e a daily triple period literacy block, 
using the TCRWP Reader’s and Writer’s workshops to ensure content"
M322|Teacher's College Reading and Writing Project|", leveraging RTI and the 
conferring aspect of the TCRWP curriculum to provide students individualized fee"
M322|Teacher's College Reading and Writing Project|"ased on individual student reading level data from TCRWP Running 
Records

TPR
visual supports
process cha"
M322|Teacher's College Reading and Writing Project|" libraries in all literacy classrooms based on the TCRWP curriculum (leveled by genre, 

Page 46

author/"
M322|Teacher's College Reading and Writing Project|"ite professional development with consultants from TCRWP consultants (biweekly) and offsite 
consultant, I"
M322|Teacher's College Reading and Writing Project|"e.g., ECLAS-2, EL SOL, Fountas and 

Pinnell, DRA, TCRWP). What insights do the data provide about your EL"
M322|Teacher's College Reading and Writing Project|"ur programs for ELLs. 
  1. Middle School 322 uses TCRWP assessments to track the early literacy skills of"
M322|Teacher's College Reading and Writing Project|"g Records to explore the beginning skills of ELLs, TCRWP’s Primary Spelling Inventory 
highlights the diff"
X405|Pearson|" Longman, Second edition
Very Easy True Stories – Pearson Longman, Second Edition
New Interchange  - Cambri"
X405|Pearson|" instruction:
 NorthStar Basic/Low Intermediate – Pearson-Longman, Second Edition
Grammar in Context, 2 –Th"
X405|Pearson|"ess
Great American Short Stories,1 – C.G. Draper, Pearson-Longman
Tales of Mystery and Imagination – Oxford"
X405|Pearson|"struction:
NorthStar High Intermediate/Advanced – Pearson-Longman, Second Edition
Grammar in Context, 3 – T"
X405|Pearson|"on
Great American Short Stories, 2 - C.G. Draper, Pearson-Longman
The House on Mango Street – Random House
"
X405|Pearson|"o not.  

b-c. Currently we are not employing the Pearson Periodic Assessment

5. N/A

6. Describe how you "
X405|IDO|"nsultation with their School Leadership Team.

HOW DO SCEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL P"
X405|Rosetta Stone|"hool tutoring program 
and work specifically with Rosetta Stone and one-on-one with a teacher to gain proficiency"
X405|Rosetta Stone|"rom 9:00 am to 12:00 pm.  We have implemented the Rosetta Stone 
program into our after-school tutoring for newco"
X405|Rosetta Stone|"ctiveness.  ESL teachers have already begun using Rosetta Stone in the Beginner and 
Intermediate classes and Ach"
X405|Rosetta Stone|"ss for transitioning Special Education students.  Rosetta Stone 
allows for students to become accountable for th"
X405|Rosetta Stone|"Oxford Bookworms Library, Oxford University Press
Rosetta Stone – Rosetta Stone Ltd.

Materials used at the Inter"
X405|Rosetta Stone|" Library, Oxford University Press
Rosetta Stone – Rosetta Stone Ltd.

Materials used at the Intermediate level of"
X405|Rosetta Stone|"Oxford Bookworms Library, Oxford University Press
Rosetta Stone – Rosetta Stone Ltd.

Materials used at the Advan"
X405|Rosetta Stone|" Library, Oxford University Press
Rosetta Stone – Rosetta Stone Ltd.

Materials used at the Advanced level of ins"
X405|Rosetta Stone|" we are 
currently scheduling another session for Rosetta Stone.
The topics for Lehman’s ESL Professional Develop"
X405|Rosetta Stone|" to accelerate their progress by implementing the Rosetta Stone program in the Beginner level classes.  
For the "
X405|Rosetta Stone|"ting, English in Action Series) will utilize 
the Rosetta Stone software program (Beginner--Advanced language lab"
X405|Rosetta Stone|"boratory/instructional materials 
and software).  Rosetta Stone will provide Professional Development for teacher"
X405|Rosetta Stone|"Peer Support for Content Knowledge Acquisition.  
Rosetta Stone will provide a three-hour Professional Developmen"
X405|Rosetta Stone|" three-hour Professional Development on utilizing Rosetta Stone for the 
Classroom and for Support.  Title III wi"
X405|Rosetta Stone|"upport.  Title III will fund training provided by Rosetta Stone for teachers involved in 
the Title III after sch"
X405|Rosetta Stone|"

TOTAL

52 | P a g e

Conference/workshop fees 

Rosetta Stone Professional 
Development for ESL teachers

Curri"
X405|Rosetta Stone|"Series/English in Action Series/Focus 
on Writing
Rosetta Stone Classroom Version 3 
Annual Fixed License 
100 x "
X363|Go Math!|"ed materials 
used.

Study Hall periods 
dedicated to Math 
intervention

Small group instruction 8:1 
teache"
M450|Amplify|"ich the ESL teacher delivers a curriculum meant to amplify voabulary, develop language, reinforce, 
supplemen"
M450|BrainPOP|their learning through the use of websites such as Brain POP and Flocabulary, visuals, reciprocal teaching, pee
M450|Cortex|gh (series) by Perfect Learning; Claudia Christina Cortez (series) from Stone Arch; Foundations for Algebra,
M450|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
M450|Read180|" AND IN GOOD STANDING SCHOOLS

 Wilson, Rewards & Read 180 

classes for our most 
struggling readers.  

 B"
M450|Read180|"der to address multiple components of literacy the Read 180 program has proved to be highly successful. 

In w"
M450|REWARDS|"TENDENT:

 

2012-13 CEP TEMPLATE 

09-16-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

DRAFT O"
M450|REWARDS|"lors and school leaders.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

5

 Pr"
M450|REWARDS|"t  and iZone technology.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

6

Use "
M450|REWARDS|" selected describe here:

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

Serv"
M450|REWARDS|"velopment and planning. 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

Use "
M450|REWARDS|"en’s group
Peer tutoring

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

 Co"
M450|REWARDS|"our $100,000  ESI grant 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

ACA"
M450|REWARDS|"ce the instruction they 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

 Wilson"
M450|REWARDS|"sessions 
each Saturday.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12



"
M450|REWARDS|"0min. 1-4 times a 
week.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

ins"
M450|REWARDS|"folio requirements.  We 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

14

hav"
M450|REWARDS|"rements twice a year in 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

15

a “"
M450|REWARDS|"rvice providers utilize 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

16

var"
M450|REWARDS|" 
emotional needs.





2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

17

HIG"
M450|REWARDS|"s and help with planning

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

18

DIR"
M450|Rosetta Stone|"e beginning of the school 
year.

17. Through the Rosetta Stone Program students are able to choose from over 25 "
M450|Teacher's College Reading and Writing Project|"ntinue to be provided in QTEL 
strategies, Wilson, Teachers College Readers & Writers Workshop,  Read 180, and Multi-S"
M450|Teacher's College Reading and Writing Project|" on students' early literacy skills as well as the Teachers College Reading & Writing leveling program.  The 
data for"
K021|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
K021|iReady|"by assignment:

13. Students use Achieve 3000 and iReady reading software to reinforce comprehension skill"
K021|REWARDS|"YN SANTIAGO

2012-13 CEP TEMPLATE 

07-12-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

SCHOOL "
K021|REWARDS|"cy support (2:20-6:00pm)

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

5

Serv"
K021|REWARDS|" adjust curriculum maps.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

6

ANNU"
K021|REWARDS|"cy support (2:20-6:00pm)

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

Serv"
K021|REWARDS|" adjust curriculum maps.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

ANNU"
K021|REWARDS|"ructional 

Expectations

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

 Us"
K021|REWARDS|" CFN211 network support 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

Ann"
K021|REWARDS|".) to motivate students.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

11

ACA"
K021|REWARDS|"m. 
for Tier 2 students.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12

Soc"
K021|REWARDS|" 
extended time period. 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

HIG"
K021|REWARDS|"teacher effectiveness.  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

14

DIR"
K021|Reading Street|"s, 
Grades 3-5: Acuity 
instructional resources, 
Reading Street Intervention 
resources, Readworks, 
running reco"
K021|Acuity|"ntion, Vmath, My 
Math (McGraw Hill), Real 
Math, Acuity instructional 
resources, Coolmath, Math 
Steps, "
K021|Acuity|"sed on data driven instruction (review of student Acuity Assessment 
scores, data analysis of sub skills a"
K021|Acuity|"teacher observation and annual yearly progress on Acuity ITA’s and Predictives are monitored in order to 
"
K021|Acuity|"a to evaluate the success of the ELLs population. Acuity is used to assess ELA and Math proficiencies 
alo"
X388|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
X388|REWARDS|"INE LINDSEY

2012-13 CEP TEMPLATE 

07-10-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

SCHOOL "
X388|REWARDS|"ne and interdisciplinary

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

4

team"
X388|REWARDS|"rom each curriculum area

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

5

Incl"
X388|REWARDS|"t access to content.

· 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

6

Serv"
X388|REWARDS|"t of CCLS aligned 
units

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

Use "
X388|REWARDS|"n feedback and resubmit.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

Targ"
X388|REWARDS|"udent access to content.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

Serv"
X388|REWARDS|"rn keyed for other staff

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

ANN"
X388|REWARDS|"ne: October through June

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

11

Act"
X388|REWARDS|" selected describe here:

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12

As "
X388|REWARDS|"ditional support in Math

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

ACA"
X388|REWARDS|"r-school 

 Saturdays 

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

14

Soc"
X388|REWARDS|"

After-school
Saturdays

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

15

HIG"
X388|REWARDS|"re that non-HQT meet all 
2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS
required "
M108|BrainPOP|"ucation ELLs, Book Flix and True Flix, Brain 
POP/ Brain POP ESL! that will enhance and support our ELLs and th"
M108|Core Knowledge|"ignment to core curriculum and the application of Core Knowledge.  Teachers will also 
be informed of Testing Modi"
M108|IDO|"tion with their School Leadership Team (SLT).

HOW DO CEP GOALS RELATE TO GOALS SET FOR THE PRINCIPAL PE"
M108|REWARDS|"Z CORTAZZO 

2012-13 CEP TEMPLATE 

07-09-2013
FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

DRAFT O"
M108|REWARDS|"first /second year staff

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

5

Stra"
M108|REWARDS|"rts & sports development

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

6

Use "
M108|REWARDS|"he CIE by school 

staff

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

7

Budg"
M108|REWARDS|"dle School Content Area.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

8

Use "
M108|REWARDS|" and events for families

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

9

Budg"
M108|REWARDS|"13 noted on pages 13-15.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

10

ACA"
M108|REWARDS|"rvations and checklists.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

11

At-"
M108|REWARDS|"ds and short -term care.

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

12

HIG"
M108|REWARDS|"y in our Middle School  

2012-13 CEP TEMPLATE FOR REWARD, RECOGNITION AND IN GOOD STANDING SCHOOLS

13

DIR"
M108|Summit|"enior 
ELL Compliance and Performance Specialist.  Submit this form to your Senior ELL Compliance and Perfor"
M108|Teacher's College Reading and Writing Project|"Voyager fluency tests, Fountas and Pinnell levels, TCRWP running 
records and comprehension tools as well "
M108|Fountas and Pinnell|"hout the school day on their level.  Teachers use Fountas and Pinnell to determine a 
child's independent reading level"
M108|Fountas and Pinnell|"f ELLs.  Every class has a Leveled Library 
using Fountas and Pinnell, teachers of ELLs have acces to the school Comput"
M108|Fountas and Pinnell|"y skills by using ECLAS-2, Voyager fluency tests, Fountas and Pinnell levels, TCRWP running 
records and comprehension "
