dbn,number,question,answer
Q151,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. P.S.151Q, Mary D. Carter School, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. The school’s Parent Involvement Policy was designed based upon a careful assessment of the needs of all parents/guardians, including parents/guardians of English Language Learners and students with disabilities. The school community will conduct an annual evaluation of the content and effectiveness of this parent involvement policy with Title I parents to improve the academic quality of the school. The findings of the evaluation through school surveys and feedback forms will be used to design strategies to more effectively meet the needs of parents, and enhance the school’s Title I program. This information will be maintained by the school. In developing the Title I Parent Involvement Policy, parents of Title I participating students, parent members of the school’s Parent Association (or Parent-Teacher Association), as well as parent members of the School Leadership Team, were consulted on the proposed Title I Parent Involvement Policy and asked to survey their members for additional input. P.S.151Q, Mary D. Carter School will support parents and families of Title I students by:"
X175,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. PS175, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. P.S. 175 will support parents and families of Title I students by:"
K223,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. IS 223, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. IS223 will support parents and families of Title I students by:"
X161,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. P.S. 161 - Juan Ponce De Leon, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
Q145,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Joseph Pulitzer Intermediate School 145, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
M134,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. PS 134 in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. PS 134 will support parents and families of Title I students by:"
K545,57,Educational research shows a positive correlation between effective parental involvement and student achievement.,
Q192,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. IS 192 , in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. IS 192 will support parents and families of Title I students by:"
K592,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Khalil Gibran International Academy, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
Q186,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. PS186, The Castlewood School, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
Q019,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. P.S. 19Q, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. P.S. 19Q The Marino P. Jeantet School will support parents and families of Title I students by:"
K425,57,Educational research shows a positive correlation between effective parental involvement and student achievement.,
M054,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Booker T. Washington , in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. Booker T. Washington will support parents and families of Title I students by:"
Q025,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. [School name] , in compliance with the Section 1118 of Title I, Part A of the Elementary and Secondary Education Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
X015,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. PS/MS 15 , in compliance with the Section 1118 of Title I, Part A of the No Child Left Behind (NCLB) Act, is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
Q031,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. PS 31, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
M040,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. P.S 40, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. P.S 40 will support parents and families of Title I students by:"
R074,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Future Leaders Elementary School, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
X559,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. The School for Tourism and Hospitality, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
K169,57,Educational research shows a positive correlation between effective parental involvement and student achievement.,
R060,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. PS 60, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. PS 60's Parent Involvement Policy was designed based upon a careful assessment of the needs of all parents/guardians, including parents/guardians of English Language Learners and students with disabilities. Our school community will conduct an annual evaluation of the content and effectiveness of this parent involvement policy with Title I parents to improve the academic quality of our school. The findings of the evaluation through school surveys and feedback forms will be used to design strategies to more effectively meet the needs of parents, and enhance the school’s Title I program. This information will be maintained by PS 60. In developing the Title I Parent Involvement Policy, parents of Title I participating students, parent members of the school’s Parent Association (or Parent-Teacher Association), as well as parent members of the School Leadership Team, were consulted on the proposed Title I Parent Involvement Policy and asked to survey their members for additional input. PS 60 will support parents and families of Title I students by:"
R048,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. P.S. 048, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community.The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. P.S. 048 will support parents and families of Title I students by: ● providing materials and training to help parents work with their children to improve their achievement level, e.g., literacy, math, and use of technology; ● providing parents with the information and training needed to effectively become involved in planning and decision making in support of the education of their children; ● fostering a caring and effective home-school partnership to ensure that parents can effectively support and monitor their child’s progress; 3  ● providing assistance to parents in understanding City, State and Federal standards and assessments; ● sharing information about school and parent related programs, meetings and other activities in a format, and in languages that parents can understand; ● providing professional development opportunities for school staff with the assistance of parents to improve outreach, communication skills and cultural competency in order to build stronger ties between parents and other members of the school community; The school’s Parent Involvement Policy was designed based upon a careful assessment of the needs of all parents/guardians, including parents/guardians of English Language Learners and students with disabilities. The school community will conduct an annual evaluation of the content and effectiveness of this parent involvement policy with Title I parents to improve the academic quality of the school. The findings of the evaluation through school surveys and feedback forms will be used to design strategies to more effectively meet the needs of parents, and enhance the school’s Title I program. This information will be maintained by the school. In developing the Title I Parent Involvement Policy, parents of Title I participating students, parent members of the school’s Parent Association (or Parent-Teacher Association), as well as parent members of the School Leadership Team, were consulted on the proposed Title I Parent Involvement Policy and asked to survey their members for additional input. To increase and improve parent involvement and school quality, the school will: ● actively involve and engage parents in the planning, review and evaluation of the effectiveness of the school’s Title I program as outlined in the School Comprehensive Educational Plan, including the implementation of the school’s Title I Parent Involvement Policy and School-Parent Compact; ● engage parents in discussion and decisions regarding the required Title I set-aside funds, which are allocated directly to the school to promote parent involvement, including family literacy and parenting skills; ● ensure that the Title I funds allocated for parent involvement are utilized to implement activities and strategies as described in the school’s Parent Involvement Policy and the School-Parent Compact; ● support school-level committees that include parents who are members of the School Leadership Team, the Parent Association (or Parent-Teacher Association) and Title I Parent Committee. This includes providing technical support and ongoing professional development, especially in developing leadership skills; ● maintain a Parent Coordinator (or a dedicated staff person) to serve as a liaison between the school and families. The Parent Coordinator or a dedicated staff person will provide parent workshops based on the assessed needs of the parents of children who attend the school and will work to ensure that the school environment is welcoming and inviting to all parents. The Parent Coordinator will also maintain a log of events and activities planned for parents each month and file a report with the central office.; ● conduct parent workshops with topics that may include: parenting skills, understanding educational accountability, grade-level curriculum, and assessment expectations; literacy, accessing community and support services; and technology training to build parents’ capacity to help their children at home; ● provide opportunities for parents to help them understand the accountability system, e.g., ESSA/State accountability system, student proficiency levels, Annual School Report Card, School Quality Report, Quality Review Report, Learning Environment Survey Report; ● host the required Annual Title I Parent Meeting on or before December 1 st of each school year to advise parents of children participating in the Title I program about the school’s Title I funded program(s), their right to be involved in 4  the program and the parent involvement requirements under Title I, Part A, Section 1118 and other applicable sections under the ESSA; ● schedule additional parent meetings, e.g., quarterly meetings with flexible times, such as meetings in the morning or evening, to share information about the school’s educational program and other initiatives of the Chancellor and allow parents to provide suggestions; ● translate all critical school documents and provide interpretation during meetings and events as needed; ● conduct an Annual Title I Parent Fair/Event where all parents are invited to attend formal presentations and workshops that address their student academic skill needs and what parents can do to help;"
K141,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. PS 141K, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. PS 141K will support parents and families of Title I students by:"
Q227,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Louis Armstrong Middle School in compliance with the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. Louis Armstrong Middle School will support parents and families of Title I students by:"
X565,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. High School for Energy and Technology, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA) Act, is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
M256,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. M256 , in compliance with the Section 1118 of Title I, Part A of the Elementary and Secondary School (ESSA) Act, is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. M256 will support parents and families of Title I students by:"
K627,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Brighter Choice Community School, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
M242,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Young Diplomats Magnet Academy , in compliance with the Section 1118 of Title I, Part A of the Elementary and Secondary School (ESSA) Act, is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
K633,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. High School for Medical Professions, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community."
Q233,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. P.233Q, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. P.233Q will support parents and families of Title I students by:"
Q555,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. Newcomers High School, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. The final version of this document will be distributed to the school community in Parents Association meetings, and Student Government meetings throughout the 2018-2019 school year, and will be available on file in the Parent Coordinator’s office. A copy of the final version of this policy will also be submitted to the Office of School Improvement as an attachment to the school’s CEP and filed with the Office for Family Engagement and Advocacy."
M281,57,Educational research shows a positive correlation between effective parental involvement and student achievement.," The overall aim of this policy is to develop a parent involvement program that will ensure effective involvement of parents and community in the school. The River School, in compliance with the Section 1118 of Title I, Part A of the Every Student Succeeds Act (ESSA), is responsible for creating and implementing a parent involvement policy to strengthen the connection and support of student achievement between the school and the families. The school’s policy is designed to keep parents informed by actively involving them in planning and decision-making in support of the education of their children. Parents are encouraged to actively participate on the School Leadership Team, Parent Association, and Title I Parent Committee as trained volunteers and welcomed members of the school community. The River School will support parents and families of Title I students by:"
